,open,high,low,close
2016-08-23,1.31332,1.32107,1.3127,1.31971
2016-08-24,1.31964,1.32729,1.3159,1.32322
2016-08-25,1.32322,1.32639,1.3166,1.31901
2016-08-26,1.31903,1.32786,1.3119,1.31358
2016-08-29,1.31299,1.3139,1.3056,1.31056
2016-08-30,1.31056,1.31199,1.3056,1.30811
2016-08-31,1.30818,1.31581,1.3064,1.31443
2016-09-01,1.31439,1.33177,1.3125,1.32699
2016-09-02,1.32701,1.33524,1.3248,1.3289
2016-09-05,1.32922,1.33756,1.3287,1.33005
2016-09-06,1.32994,1.34451,1.3292,1.34237
2016-09-07,1.34232,1.34272,1.33177,1.33364
2016-09-08,1.33368,1.33754,1.3281,1.32992
2016-09-09,1.32987,1.33359,1.3238,1.327
2016-09-12,1.32571,1.33469,1.32343,1.33346
2016-09-13,1.33338,1.33389,1.3165,1.31902
2016-09-14,1.31913,1.32791,1.3137,1.32497
2016-09-15,1.32497,1.32766,1.31786,1.32431
2016-09-16,1.32431,1.32475,1.29948,1.29965
2016-09-19,1.30184,1.30911,1.3004,1.30367
2016-09-20,1.30365,1.30648,1.2945,1.29851
2016-09-21,1.29854,1.30467,1.2944,1.30336
2016-09-22,1.3033,1.31208,1.3025,1.30784
2016-09-23,1.3079,1.30878,1.2912,1.29635
2016-09-26,1.29694,1.29875,1.2914,1.29711
2016-09-27,1.29712,1.30266,1.2933,1.30175
2016-09-28,1.30172,1.30317,1.2977,1.30181
2016-09-29,1.30183,1.30581,1.2951,1.29709
2016-09-30,1.29709,1.30227,1.29346,1.29763
2016-10-03,1.29339,1.29466,1.28159,1.28495
2016-10-04,1.28494,1.28605,1.2716,1.2734
2016-10-05,1.27339,1.27713,1.26831,1.27511
2016-10-06,1.27511,1.27598,1.25988,1.26137
2016-10-07,1.26137,1.26147,1.19432,1.2433
2016-10-10,1.24343,1.24442,1.2341,1.23609
2016-10-11,1.23603,1.23639,1.20881,1.22413
2016-10-12,1.22416,1.23252,1.2164,1.2197
2016-10-13,1.2197,1.22723,1.213,1.22419
2016-10-14,1.22421,1.22617,1.21668,1.21864
2016-10-17,1.21641,1.22018,1.2133,1.21882
2016-10-18,1.21883,1.2325,1.218,1.22976
2016-10-19,1.22974,1.23325,1.225,1.22886
2016-10-20,1.22891,1.22982,1.2208,1.22544
2016-10-21,1.22546,1.22598,1.2168,1.22289
2016-10-24,1.22188,1.22492,1.2183,1.22198
2016-10-25,1.22201,1.22435,1.2081,1.21793
2016-10-26,1.21793,1.22494,1.2153,1.22344
2016-10-27,1.22342,1.22719,1.2145,1.21591
2016-10-28,1.21591,1.22124,1.2111,1.2186
2016-10-31,1.21915,1.2249,1.2142,1.22344
2016-11-01,1.22339,1.2281,1.2204,1.22398
2016-11-02,1.22402,1.23546,1.2218,1.23016
